ISWC;workId;title;creators;source;date
T-061.508.211-5;100001124796;DRESSED IN BLACK;FURLER SIA KATE I, GRANT MICHAELS, KURSTIN GREGORY ALLEN;KOMCA;2023.10.18
T-060.512.743-2;100001124797;DRINK TO GET DRUNK;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.846.395-1;100001124798;DUET;FURLER SIA KATE I, KATIE NOONAN, LESTER MENDEZ;KOMCA;2023.10.18
T-915.773.895-9;100001124799;EASY STREET (2014 FILM VERSION);CHARNIN MARTIN, FURLER SIA KATE I, GLUCK WILLIAM, KURSTIN GREG, STROUSE CHARLES;KOMCA;2023.10.18
T-061.457.978-0;100000616887;ELASTIC HEART;FURLER SIA KATE I, PENTZ THOMAS WESLEY, SWANSON ANDREW FITZGERALD, TESFAYE ABEL;KOMCA;2023.10.18
T-913.870.827-7;100001124800;ELASTIC HEART (NEW);ANDREW FITZGERALD SWANSON, FURLER SIA KATE I, THOMAS WESLEY PENTZ;KOMCA;2023.10.18
T-060.947.840-1;100001124801;ELECTRIC BIRD;BINNS HENRY, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.750.249-7;100001124802;EVER;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.877.453-3;100001124803;EVERYDAY;FURLER SIA KATE I, LESTER MENDEZ;KOMCA;2023.10.18
T-061.077.097-2;100001124804;EVERYONE'S CHILD;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.539.540-8;100001124805;EXPERTEASE (READY SET GO);ANDREW WANSEL, FURLER SIA KATE I, JENNIFER LOPEZ, STEVE MOSTYN, WARREN FELDER;KOMCA;2023.10.18
T-060.766.774-2;100001124806;FACING AWAY;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-914.265.713-4;100001124807;FAIR GAME;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;KOMCA;2023.10.18
T-060.584.982-8;100001124808;FANCY ME;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.583.659-6;100001124809;FEAR;FURLER SIA KATE I;KOMCA;2023.10.18
T-061.633.049-4;100001124810;FIRECRACKER;FURLER SIA KATE I, KURSTIN GREG;KOMCA;2023.10.18
;100000848403;FLASHLIGHT;FURLER SIA KATE I, GUZMAN CHRISTIAN NICOLAS, MARIO MEJIA, MOORE JASON, SMITH SAMUEL FREDERICK;KOMCA;2023.10.18
;100001270245;FLASHLIGHT;FURLER SIA KATE I, GUZMAN CHRISTIAN NICOLAS, MOORE JASON, SMITH SAMUEL FREDERICK;KOMCA;2023.10.18
T-060.821.845-6;100001124811;FLOWERS;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.270.887-8;100001124812;FREE ME;FURLER SIA KATE I, LUCIAN PIANE;KOMCA;2023.10.18
T-061.593.301-1;100001124813;FREEZE YOU OUT;CHRISTOPHER BRAIDE, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.766.775-3;100001124814;GARDEN;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
;100002335731;GENIUS;FURLER SIA KATE I, MECKSEPER PHILIP, PENTZ THOMAS, TIMOTHY LEE MCKENZIE;KOMCA;2023.10.18
T-910.376.624-1;100001124815;GENTLEMEN;FURLER SIA KATE I, TOBY GAD;KOMCA;2023.10.18
T-060.282.371-1;100001124816;GET IT TOGETHER;FLAVELL JESSE HEATH, FURLER SIA KATE I, GLOVER JEREMY THOMAS, GURTON BEN SHAUN, LANGLEY SAMUEL, ROONEY STEVEN DAVID;KOMCA;2023.10.18
T-060.417.935-2;100001124817;GET ME;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.326.417-7;100001124869;GET OVER U;FURLER SIA KATE I, HITCH NEON, LEVIN BENJAMIN JOSEPH;KOMCA;2023.10.18
;100002519218;GET OVER YOU;FURLER SIA KATE I, HITCH NEON, LEVIN BENJAMIN;KOMCA;2023.10.18
;100004948091;GO GET IT;AJIBADE OLUWATOSIN OLUWOLE, FURLER SIA KATE I, MECKSEPER PHILLIP, PENTZ THOMAS WESLEY, PICARD CLEMENT MARIE JACQUES, PICARD MAXIME MARIE LAURENT;KOMCA;2023.10.18
T-061.470.770-8;100001124870;GOD MADE YOU BEAUTIFUL;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I, KNOWLES BEYONCE GISSELLE;KOMCA;2023.10.18
T-914.135.151-1;100001124871;GODZILLIONAIRE;CANDY BROOKE, FURLER SIA KATE I, JOLLIFF JAMES T IV, SHATKIN JESSE SAMUEL;KOMCA;2023.10.18
;100001168147;GOLDEN;CLEMENT PICARD, FURLER SIA, MCCOY TRAVIE, PENTZ THOMAS, PICARD MAXIME;KOMCA;2023.10.18
T-060.312.943-6;100001124872;GOT TO GET TO YOU;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
T-061.442.342-5;100001124873;GUITARS AND MICROPHONES;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I, PIERSON KATE;KOMCA;2023.10.18
;100000792441;GUTS OVER FEAR;FURLER SIA KATE I, GRAHAM JOHN, HAYNIE EMILE, MATHERS MARSHALL B III, RESTO LUIS EDGARDO;KOMCA;2023.10.18
T-060.694.526-9;100001124874;HAPPY TO RETURN;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.673.339-4;100001124875;HEALING IS DIFFICULT;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-928.317.151-7;100002526643;HEAVEN CAN WAIT;FURLER SIA KATE I, MECKSEPER PHILIP, PENTZ THOMAS, TIMOTHY LEE MCKENZIE;KOMCA;2023.10.18
