ISWC;workId;title;creators;source;date
;5.519.922;THE CHURCH OF WHAT S HAPPENING NOW;SIA KATE I FURLER;SGAE;2024.9.28
;5.519.924;SWEET POTATO;SIA KATE I FURLER;SGAE;2024.9.28
;5.519.926;SEA SHELLS;SIA KATE I FURLER;SGAE;2024.9.28
;5.519.929;BROKEN BISCUIT;SIA KATE I FURLER;SGAE;2024.9.28
;5.699.872;SUNDAY;SIA KATE I FURLER;SGAE;2024.9.28
;5.699.872;WINTER IN HAWAII;SIA KATE I FURLER;SGAE;2024.9.28
;5.867.922;WINTER IN HAWAII;SIA KATE I FURLER;SGAE;2024.9.28
;6.046.201;CAR PARK;SIA KATE I FURLER;SGAE;2024.9.28
;6.059.063;BY YOUR SIDE;SIA KATE I FURLER;SGAE;2024.9.28
;6.059.064;THE CORNER;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.788;CLOCKWORK;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.803;GARDEN;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.805;LEAVE NOW;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.807;SILENCE;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.808;DISHWATER;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.809;BEAUTIFUL CALM DRIVING;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.809;BEAUTIFUL CALM;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.810;MISTAKES HILLS PEAKS;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.813;SALTED WOUND;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.814;FACING AWAY;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.815;BRING NIGHT;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.817;BUS STOP;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.818;RUBBERBAND;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.820;UNTANGLE;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.821;STOP TRYING;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.823;ALL MY LOVE I LL SEND;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.826;U CAN DO IT;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.837;PLASTER;SIA KATE I FURLER;SGAE;2024.9.28
;6.168.950;YOUR ROOM;SIA KATE I FURLER;SGAE;2024.9.28
;6.414.455;BRING IT TO ME;SIA KATE I FURLER;SGAE;2024.9.28
;6.414.460;CLOCKWORK LATEST;SIA KATE I FURLER;SGAE;2024.9.28
;6.414.462;NEWCLOUD;SIA KATE I FURLER;SGAE;2024.9.28
;6.414.463;NEWSILENCE;SIA KATE I FURLER;SGAE;2024.9.28
;6.414.465;LENTIL;SIA KATE I FURLER;SGAE;2024.9.28
;6.414.466;JAZZ HANDS;SIA KATE I FURLER;SGAE;2024.9.28
;6.414.476;NEWDISHWATER;SIA KATE I FURLER;SGAE;2024.9.28
;6.534.394;THIS FINE SOCIAL SCENE;SIA KATE I FURLER;SGAE;2024.9.28
;6.534.398;PAGEANT OF THE BIZARRE;SIA KATE I FURLER;SGAE;2024.9.28
;6.550.872;EVERYDAY;SIA KATE I FURLER;SGAE;2024.9.28
;6.608.631;FLOWERS;SIA KATE I FURLER;SGAE;2024.9.28
;6.608.633;HOLD ME DOWN;SIA KATE I FURLER;SGAE;2024.9.28
;6.608.635;BLAME IT ON THE RADIO;SIA KATE I FURLER;SGAE;2024.9.28
;6.608.637;RED HANDED;SIA KATE I FURLER;SGAE;2024.9.28
;6.608.639;PICTURES;SIA KATE I FURLER;SGAE;2024.9.28
;6.608.641;LITTLE BLACK SANDALS;SIA KATE I FURLER;SGAE;2024.9.28
;6.681.464;SHAME;SIA KATE I FURLER;SGAE;2024.9.28
;6.681.465;YOU MADE A FOOL OF ME;SIA KATE I FURLER;SGAE;2024.9.28
;6.681.469;STRANGER MAN;SIA KATE I FURLER;SGAE;2024.9.28
;6.681.472;THE GIRL YOU LOST TO COCAINE;SIA KATE I FURLER;SGAE;2024.9.28
;6.681.474;SICK FLOWERS;SIA KATE I FURLER;SGAE;2024.9.28
;6.681.477;DEATH BY CHOCOLATE;SIA KATE I FURLER;SGAE;2024.9.28
;6.681.478;BRUISE LIKE A PEAR;SIA KATE I FURLER;SGAE;2024.9.28
;6.681.480;NORMAL IS A RUMOUR;SIA KATE I FURLER;SGAE;2024.9.28
;6.681.482;DAY TOO SOON;SIA KATE I FURLER;SGAE;2024.9.28
;6.873.135;BUTTONS;SIA KATE I FURLER;SGAE;2024.9.28
;7.025.752;BYE BYE BYE;SIA KATE I FURLER;SGAE;2024.9.28
;9.090.359;LOSING YOU;SIA KATE I FURLER;SGAE;2024.9.28
;9.098.158;SOON WE LL BE FOUND;SIA KATE I FURLER;SGAE;2024.9.28
;9.667.550;EVERYONE S CHILD;SIA KATE I FURLER;SGAE;2024.9.28
;9.699.415;THE FIGHT;SIA KATE I FURLER;SGAE;2024.9.28
;12.198.735;HOW TO BREATHE ACAPELLA VERSION;SIA KATE I FURLER;SGAE;2024.9.28
;12.198.777;I WILL GET OVER YOU;SIA KATE I FURLER;SGAE;2024.9.28
;12.207.279;RULES ARE FOR BREAKING;SIA KATE I FURLER;SGAE;2024.9.28
;12.217.126;HURTING ME NOW;SIA KATE I FURLER;SGAE;2024.9.28
;12.217.558;NEVER GONNA LEAVE ME;SIA KATE I FURLER;SGAE;2024.9.28
;12.238.589;THE CODEPENDENT;SIA KATE I FURLER;SGAE;2024.9.28
;12.238.589;THE CODEPENDANT;SIA KATE I FURLER;SGAE;2024.9.28
;12.238.822;UNTANGLE YOU;SIA KATE I FURLER;SGAE;2024.9.28
;12.253.008;UTOPIA;SIA KATE I FURLER;SGAE;2024.9.28
;12.519.370;RADIO ACTIVE;SIA KATE I FURLER;SGAE;2024.9.28
;12.668.924;KILL F K MARRY;SIA KATE I FURLER;SGAE;2024.9.28
;12.827.738;ILLUMINATION OUTRO;SIA KATE I FURLER;SGAE;2024.9.28
;13.717.872;STRAIGHT FOR THE KNIFE;SIA KATE I FURLER;SGAE;2024.9.28
;14.914.540;FIRECRACKER;SIA KATE I FURLER;SGAE;2024.9.28
;15.374.470;SUFFERING;SIA KATE I FURLER;SGAE;2024.9.28
;15.743.647;JESUS WEPT;SIA KATE I FURLER;SGAE;2024.9.28
;16.287.137;DEER IN HEADLIGHTS;SIA KATE I FURLER;SGAE;2024.9.28
;16.868.952;WAR GAMES;SIA KATE I FURLER;SGAE;2024.9.28
;16.872.578;LIMITLESS;SIA KATE I FURLER;SGAE;2024.9.28
;16.904.334;GALAXY;SIA KATE I FURLER;SGAE;2024.9.28
;16.904.336;WONDERFUL;SIA KATE I FURLER;SGAE;2024.9.28
;16.906.445;LOVE IS A LEAP OF FAITH ORIGINAL VERSION;SIA KATE I FURLER;SGAE;2024.9.28
;16.906.447;ARRESTED;SIA KATE I FURLER;SGAE;2024.9.28
;16.914.248;YOUR BODY TALK;SIA KATE I FURLER;SGAE;2024.9.28
;16.921.923;SWEAT AND TEARS;SIA KATE I FURLER;SGAE;2024.9.28
;16.922.187;WRAPPED UP;SIA KATE I FURLER;SGAE;2024.9.28
;17.059.863;BEAUTIFUL PEOPLE SAY;SIA KATE I FURLER;SGAE;2024.9.28
;17.128.451;PRIVATE GIRL;SIA KATE I FURLER;SGAE;2024.9.28
;17.155.071;ANTHEM;SIA KATE I FURLER;SGAE;2024.9.28
;18.128.425;NAR HJARTAN BRISTER;SIA KATE I FURLER;SGAE;2024.9.28
;18.336.956;HEART OF GLASS;SIA KATE I FURLER;SGAE;2024.9.28
;18.469.056;EVERYTHING YOU NEEDED;SIA KATE I FURLER;SGAE;2024.9.28
;19.041.879;THE DAY THAT YOU MOVED ON;SIA KATE I FURLER;SGAE;2024.9.28
;19.265.537;SING PRAISES UNTO GOD;SIA KATE I FURLER;SGAE;2024.9.28
;19.265.537;LIFT UP YOUR VOICES;SIA KATE I FURLER;SGAE;2024.9.28
;19.299.873;OUT THERE;SIA KATE I FURLER;SGAE;2024.9.28
;19.414.671;WHAT THE FUTURE HOLDS;SIA KATE I FURLER;SGAE;2024.9.28
;19.474.383;RIDING ON MY BIKE;SIA KATE I FURLER;SGAE;2024.9.28
;20.252.416;FLOATING THROUGH SPACE;SIA KATE I FURLER;SGAE;2024.9.28
;21.334.312;RESPIRO;SIA KATE I FURLER;SGAE;2024.9.28
;23.836.637;ABOUT U;SIA KATE I FURLER;SGAE;2024.9.28
;23.837.297;WE CAN DO ANYTHING;SIA KATE I FURLER;SGAE;2024.9.28
;24.851.266;UNSTOPPABLE WINNER;SIA KATE I FURLER;SGAE;2024.9.28
;24.851.266;UNSTOPPABLE (WINNER);SIA KATE I FURLER;SGAE;2024.9.28
;27.397.654;NOWHERE TO BE;SIA KATE I FURLER;SGAE;2024.9.28
;27.397.661;ROCK AND BALLOON;SIA KATE I FURLER;SGAE;2024.9.28
;27.397.669;TOWARDS THE SUN;SIA KATE I FURLER;SGAE;2024.9.28
;27.397.673;LITTLE WING;SIA KATE I FURLER;SGAE;2024.9.28
;27.397.702;WANNA BE KNOWN;SIA KATE I FURLER;SGAE;2024.9.28
;27.397.705;FAME WON T LOVE YOU WITH PARIS HILTON;SIA KATE I FURLER;SGAE;2024.9.28
;27.397.705;FAME WON'T LOVE YOU (WITH PARIS HILTON);SIA KATE I FURLER;SGAE;2024.9.28
;27.397.705;FAME WONT LOVE YOU WITH PARIS HILTON;SIA KATE I FURLER;SGAE;2024.9.28
;28.824.634;LITTLE MAN PROUD OF YOU;SIA KATE I FURLER;SGAE;2024.9.28
;28.824.634;LITTLE MAN (PROUD OF YOU);SIA KATE I FURLER;SGAE;2024.9.28
;5.372.578;I LOVE EVERYTHING;SIA KATE I FURLER;SGAE;2024.9.28
;5.372.579;KISS MYSELF ALL OVER;SIA KATE I FURLER;SGAE;2024.9.28
