ISWC;workId;title;creators;source
T3090489746;914968259;DYNAMITE FEAT. SIA AND MISS LAFAMILIA (BANX &;BLAKE FARRA HEIDI MONICA O'HANLON DOUGLAS, FURLER SIA KATE I, HENRIQUES SEAN PAUL, KURSTIN GREG, LAYTON CHRISTOPHER JAMES OSBORN, LODGE NYANN RAYMOND, RASTOGI YANNICK, RAYMOND ZACHARIE ALEXANDRE;ASCAP
T0617936114;892886445;EASY;FURLER SIA KATE I, MCKENZIE TIMOTHY LEE;ASCAP
T9157738959;887809632;EASY STREET (2014 FILM VERSION);CHARNIN MARTIN, FURLER SIA KATE I, GLUCK WILLIAM, KURSTIN GREGORY ALLEN, STROUSE CHARLES;ASCAP
T9157738959;887896012;EASY STREET (2014 FILM VERSION);CHARNIN MARTIN, FURLER SIA KATE I, GLUCK WILLIAM, KURSTIN GREG, STROUSE CHARLES;ASCAP
 ;894207761;EKG;FURLER SIA KATE I, SHUCKBURGH ALEXANDER;ASCAP
T9106879747;917655314;ELASTIC HEART;FURLER SIA KATE I, PENTZ THOMAS WESLEY, SWANSON ANDREW FITZGERALD;ASCAP
T9106879747;885953600;ELASTIC HEART FEAT THE WEEKND & DIPLO;FURLER SIA KATE I, PENTZ THOMAS WESLEY, SWANSON ANDREW FITZGERALD, TESFAYE ABEL;ASCAP
T0609478401;351444430;ELECTRIC BIRD;BINNS HENRY DANIEL, FURLER SIA KATE I;ASCAP
T0607502497;883896840;EVER;FRANK SAM, FURLER SIA KATE I;ASCAP
T0608774533;351024714;EVERYDAY;FURLER SIA KATE I, MENDEZ LESTER A;ASCAP
T9231477808;893608140;EVERYDAY IS CHRISTMAS;FURLER SIA KATE I, KURSTIN GREG;ASCAP
T9288091054;897592927;EVERYDAY IS HALLOWEEN;DIXON SAMUEL RONALD, FURLER SIA KATE I, PIERSON KATE;ASCAP
 ;352185352;EVERYONE'S CHILD;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP
 ;904102979;EVERYTHING YOU NEEDED;BRAIDE CHRISTOPHER, FURLER SIA KATE I;ASCAP
 ;350566435;EXISTED;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP
T9149927399;888665758;EXPERTEASE (READY SET GO);FELDER WARREN, FURLER SIA KATE I, LOPEZ JENNIFER, MOSTYN STEVE, WANSEL ANDREW;ASCAP
T0614423801;887335225;EYE OF THE NEEDLE;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;ASCAP
T0617935462;893195966;EYE TO EYE;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP
T0607667742;361142774;FACING AWAY;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP
T9142657134;887002192;FAIR GAME;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP
T0605849828;883896837;FANCY ME?;FRANK SAM, FURLER SIA KATE I;ASCAP
T0605836596;917309950;FEAR;FURLER SIA KATE I;ASCAP
T0615081963;887015462;FIRE MEETS GASOLINE;DIXON SAMUEL RONALD, FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP
T0616330494;889567822;FIRECRACKER;FURLER SIA KATE I, KURSTIN GREG;ASCAP
T9148139677;884337716;FIREFLY;FURLER SIA KATE I, MCALL BARNABY JOHNATHON, SLATER GIAN ELIZABETH;ASCAP
T0616538158;890049300;FIST FIGHTING A SANDSTORM;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP
T9190189754;887164136;FLASHLIGHT;FURLER SIA KATE I, GUZMAN CHRISTIAN NICOLAS, MOORE JASON, SMITH SAMUEL FREDERICK;ASCAP
T3031210392;910782281;FLOATING THROUGH SPACE;FURLER SIA KATE I, KURSTIN GREG;ASCAP
 ;361344770;FLOWERS;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP
 ;361489418;FLOWERS;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP
 ;883209278;FOLLOW ME;BINNS HENRY, FURLER SIA KATE I, MTUNGWASI ESKA;ASCAP
T9202117633;890020508;FOOTPRINTS;FURLER SIA KATE I, SEETHARAM NIKHIL SHANKER, VALLE JOSHUA, WILLIAMS TYLER MATHEW CARL;ASCAP
T0612708878;893069468;FREE ME;FURLER SIA KATE I, PIANE LUCIAN MICHAEL, PLANE LUCIAN;ASCAP
T0615082091;887002197;FREE THE ANIMAL;FURLER SIA KATE I, KURSTIN GREGORY ALLEN, LEAK JASPER MAXIMILLIAN;ASCAP
 ;895894020;GALAXY;ARSENAULT RENE, FURLER SIA KATE I, MOHLER BILLY;ASCAP
T0618919224;896012485;GALAXY;ARSENAULT RENE C, FURLER SIA KATE I, MOHLER WILLIAM JON;ASCAP
T0607667753;370924251;GARDEN;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP
T0615971431;888878142;GASOLINE;BLAIR PAUL, FURLER SIA KATE I, MONSON NICK;ASCAP
T9243594594;894786683;GENIUS;FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, MECKSEPER PHILIP, PENTZ THOMAS WESLEY;ASCAP
T9281550990;896767479;GENIUS (LIL WAYNE REMIX);CARTER DWAYNE, FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, MECKSEPER PHILIP, PENTZ THOMAS WESLEY;ASCAP
T9103766241;885494709;GENTLEMEN;FURLER SIA KATE I, GAD TOBY;ASCAP
T9113432976;885955263;GET OVER YOU;FURLER SIA KATE I, HITCH NEON, LEVIN BENJAMIN JOSEPH;ASCAP
T3213840332;921879493;GIMME LOVE;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP
T0117274573;370558540;GIRL YOU LOST TO COCAINE;ALLUM ROBERT DOUGLAS, FURLER SIA KATE I, MARTEN PHILIP, MYER MATTHEW EDWARD TRISTRAM;ASCAP
T9220945766;892892424;GO GET IT;AJIBADE OLUWATOSIN, FURLER SIA KATE I, MECKSEPER PHILIP, PENTZ THOMAS WESLEY, PICARD CLEMENT MARIE JACQUES, PICARD MAXIME MARIE LAURENT;ASCAP
T3214726742;921885467;GO ON;FURLER SIA KATE I, HARRIS JASPER, HOIBERG MAGNUS, LEVIN BENJAMIN, SHATKIN JESSE SAMUEL;ASCAP
T0614707708;886331407;GOD MADE YOU BEAUTIFUL;BRAIDE CHRIS, FURLER SIA KATE I, KNOWLES BEYONCE GISSELLE;ASCAP
T9141351511;887335230;GODZILLIONAIRE;CANDY BROOKE, FURLER SIA KATE I, JOLIFF JIMMY, JOLLIFF JAMES T, SHATKIN JESSE SAMUEL;ASCAP
T9173881975;889489856;GOLDEN;FURLER SIA KATE I, MCCOY TRAVIS L, PENTZ THOMAS WESLEY, PICARD CLEMENT MARIE JACQUES, PICARD MAXIME MARIE LAURENT;ASCAP
T0617127453;891223709;GREATEST FEAT KENDRICK LAMAR;FURLER SIA KATE I, KENDRICK LAMAR, KURSTIN GREG, MACKICHAN BLAIR NICHOLAS SOMERLED;ASCAP
 ;885811521;GREEN CARD;FABRICIUS NANNA OLAND, FURLER SIA KATE I, MICHAELS GRANT;ASCAP
